week,region,mean_BT,min_BT,max_BT,week_start_date
17,Western Hemisphere,246.27479989188058,184.7810821533203,271.4915771484375,2025-04-23
18,North America,254.79405212402344,210.56561279296875,269.5439758300781,2025-04-30
18,South America,247.49900817871094,185.54318237304688,265.2677307128906,2025-04-30
18,Tropics,244.62650626046317,181.43629455566406,268.95123291015625,2025-04-30
18,Western Hemisphere,245.74056570870536,185.54318237304688,269.5439758300781,2025-04-30
19,North America,254.5964856828962,212.301513671875,267.63873291015625,2025-05-07
19,South America,247.3725084577288,181.43629455566406,264.5479736328125,2025-05-07
19,Tropics,246.0261731828962,182.32540893554688,265.6911315917969,2025-05-07
19,Western Hemisphere,246.07566615513392,181.43629455566406,269.332275390625,2025-05-07
20,North America,254.21467808314733,211.83578491210938,268.7818603515625,2025-05-14
20,South America,246.96736798967635,183.21453857421875,267.59637451171875,2025-05-14
20,Tropics,244.21910967145647,183.21453857421875,265.5217590332031,2025-05-14
20,Western Hemisphere,245.20587594168526,183.21453857421875,268.7818603515625,2025-05-14
21,North America,253.72796630859375,208.74502563476562,269.20526123046875,2025-05-21
21,South America,247.21895490373885,183.21453857421875,266.114501953125,2025-05-21
21,Tropics,245.47766767229353,182.32540893554688,266.707275390625,2025-05-21
21,Western Hemisphere,246.31036376953125,182.32540893554688,269.5439758300781,2025-05-21
22,North America,254.18639918736048,208.19461059570312,269.79803466796875,2025-05-28
22,South America,244.2512708391462,183.21453857421875,264.2515869140625,2025-05-28
22,Tropics,245.67517307826452,182.32540893554688,270.1790771484375,2025-05-28
22,Western Hemisphere,245.68006678989954,183.21453857421875,274.9210510253906,2025-05-28
23,North America,255.19058663504464,211.32769775390625,269.45928955078125,2025-06-04
23,South America,243.8422088623047,183.21453857421875,265.8604736328125,2025-06-04
23,Tropics,247.06100245884485,184.01898193359375,267.38470458984375,2025-06-04
23,Western Hemisphere,245.76223972865515,183.21453857421875,269.45928955078125,2025-06-04
24,North America,253.4648154122489,208.44863891601562,267.4270324707031,2025-06-11
24,South America,241.3877432686942,183.21453857421875,265.5217590332031,2025-06-11
24,Tropics,244.01690455845423,183.21453857421875,264.8443298339844,2025-06-11
24,Western Hemisphere,244.54523577008928,183.21453857421875,267.4270324707031,2025-06-11
25,North America,255.93533543178015,212.76724243164062,268.40081787109375,2025-06-18
25,South America,241.939701625279,184.7810821533203,264.7596740722656,2025-06-18
25,Tropics,247.31401933942522,183.21453857421875,265.9451599121094,2025-06-18
25,Western Hemisphere,246.13502066476005,137.6999969482422,281.6953125,2025-06-18
26,North America,254.25450352260046,208.19461059570312,273.48150634765625,2025-06-25
26,South America,241.4341060093471,184.7810821533203,261.9229431152344,2025-06-25
26,Tropics,247.09832981654577,184.7810821533203,267.4270324707031,2025-06-25
26,Western Hemisphere,245.1219438825335,184.7810821533203,273.48150634765625,2025-06-25
27,North America,256.6317705426897,211.83578491210938,276.86865234375,2025-07-02
27,South America,241.355228969029,137.6999969482422,262.6003723144531,2025-07-02
27,Tropics,247.5237317766462,182.32540893554688,270.26373291015625,2025-07-02
27,Western Hemisphere,245.61688232421875,137.6999969482422,276.86865234375,2025-07-02
28,North America,256.8493347167969,209.54946899414062,268.14678955078125,2025-07-09
28,South America,243.41087123325892,183.21453857421875,262.8544006347656,2025-07-09
28,Tropics,249.1288582938058,183.21453857421875,269.12060546875,2025-07-09
28,Western Hemisphere,245.9338662283761,183.21453857421875,270.8988342285156,2025-07-09
